account_id,suspicious_start,suspicious_end,window_strength,window_confidence,n_days_observed
ACCT_M00000,2023-04-23,2023-06-21,19.7418,0.031313,665
ACCT_M00001,2022-11-30,2022-12-24,10.2034,0.016222,640
ACCT_M00002,2023-07-25,2023-09-03,15.7367,0.025128,651
ACCT_M00003,2023-07-16,2023-10-12,27.9224,0.044402,679
ACCT_M00004,2023-03-24,2023-06-20,28.4959,0.044159,675
ACCT_M00005,2023-06-21,2023-08-10,13.885,0.027887,650
ACCT_M00006,2022-10-07,2022-12-11,21.3963,0.034023,666
ACCT_M00007,2022-09-09,2022-11-22,24.0104,0.03956,641
ACCT_M00008,2023-08-07,2023-10-18,24.526,0.038015,675
ACCT_M00009,2022-09-09,2022-10-10,12.5507,0.018747,644
ACCT_M00010,2022-05-08,2022-07-07,21.0392,0.034009,678
ACCT_M00011,2023-01-27,2023-03-22,18.6034,0.031794,646
ACCT_M00012,2023-08-09,2023-10-28,26.9378,0.040533,674
ACCT_M00013,2024-03-01,2024-04-01,10.9164,0.018665,652
ACCT_M00014,2023-12-28,2024-03-02,21.6332,0.032841,685
ACCT_M00015,2022-08-04,2022-09-22,17.0015,0.027141,682
ACCT_M00016,2023-12-15,2024-02-27,24.3595,0.039748,675
ACCT_M00017,2023-01-28,2023-02-25,12.134,0.017961,654
ACCT_M00018,2023-07-21,2023-09-07,15.0894,0.029213,640
ACCT_M00019,2023-02-21,2023-04-21,19.1763,0.031383,665
ACCT_M00020,2022-05-04,2022-07-11,21.6393,0.036602,646
ACCT_M00021,2022-05-08,2022-06-10,12.9222,0.019785,666
ACCT_M00022,2022-10-11,2022-12-13,20.4727,0.032842,666
ACCT_M00023,2023-05-22,2023-07-15,17.7662,0.029429,670
ACCT_M00024,2022-06-30,2022-08-10,14.8975,0.022994,644
ACCT_M00025,2022-08-06,2022-09-18,12.5794,0.024104,661
ACCT_M00026,2022-07-04,2022-09-13,19.5971,0.037248,662
ACCT_M00027,2023-12-07,2024-02-10,21.643,0.035206,666
ACCT_M00028,2024-03-13,2024-04-13,12.3186,0.017697,645
ACCT_M00029,2023-08-24,2023-10-02,14.6604,0.021302,657
ACCT_M00030,2022-09-27,2022-12-15,24.5268,0.043377,647
ACCT_M00031,2023-09-03,2023-11-12,23.1069,0.037511,670
ACCT_M00032,2023-09-23,2023-11-21,17.505,0.03362,647
ACCT_M00033,2023-07-20,2023-08-27,15.0921,0.022161,644
ACCT_M00034,2023-04-01,2023-05-19,15.6051,0.025477,652
ACCT_M00035,2023-08-10,2023-10-27,24.7402,0.041734,645
ACCT_M00036,2023-07-21,2023-09-25,21.3932,0.034742,666
ACCT_M00037,2022-05-12,2022-06-09,12.6445,0.018121,671
ACCT_M00038,2023-01-31,2023-04-13,21.7608,0.038714,670
ACCT_M00039,2023-07-29,2023-10-11,25.6421,0.042259,672
ACCT_M00040,2022-05-20,2022-07-09,16.7998,0.028179,655
ACCT_M00041,2022-08-19,2022-09-21,14.3543,0.021664,676
ACCT_M00042,2023-05-29,2023-07-28,18.8265,0.029962,688
ACCT_M00043,2023-08-16,2023-11-09,27.0699,0.043108,677
ACCT_M00044,2023-03-05,2023-05-11,18.3175,0.036004,679
ACCT_M00045,2022-07-24,2022-08-29,11.7949,0.021126,653
ACCT_M00046,2022-11-01,2022-12-01,11.7008,0.018309,644
ACCT_M00047,2024-01-07,2024-03-31,27.307,0.044889,658
ACCT_M00048,2023-11-02,2024-01-12,23.0339,0.037164,665
ACCT_M00049,2022-08-09,2022-09-22,16.1851,0.024619,671
ACCT_M00050,2023-04-15,2023-07-04,24.5815,0.041079,685
ACCT_M00051,2023-06-16,2023-09-10,27.8113,0.046941,663
ACCT_M00052,2023-01-23,2023-04-20,27.9331,0.042184,692
ACCT_M00053,2024-01-14,2024-03-23,21.4727,0.035984,665
ACCT_M00054,2022-12-25,2023-01-18,9.7308,0.015329,639
ACCT_M00055,2023-10-05,2023-11-07,12.5698,0.019477,654
ACCT_M00056,2023-09-25,2023-10-25,12.1798,0.018563,656
ACCT_M00057,2022-07-10,2022-08-15,12.013,0.021258,654
ACCT_M00058,2023-09-27,2023-10-30,12.9956,0.019364,640
