position,column,banking_name,source,training_median
0,F13,R_NON_CASH_CHQ_TXN_L7_14D,carried through from the extract,0.6
1,F14,R_NON_CASH_CHQ_TXN_CR_L7_14D,carried through from the extract,0.59
2,F15,R_NON_CASH_CHQ_TXN_DB_L7_14D,carried through from the extract,0.61
3,F16,R_NON_CASH_CHQ_AMT_L7_14D,carried through from the extract,0.74
4,F17,R_NON_CASH_CHQ_AMT_CR_L7_14D,carried through from the extract,0.72
5,F18,R_NON_CASH_CHQ_AMT_DB_L7_14D,carried through from the extract,0.75
6,F19,R_CI_NON_CASH_CHQ_TXN_L7_14D,carried through from the extract,0.59
7,F20,R_CI_NON_CASH_CHQ_TXN_CR_L7_14D,carried through from the extract,0.57
8,F21,R_CI_NON_CASH_CHQ_TXN_DB_L7_14D,carried through from the extract,0.6
9,F22,R_CI_NON_CASH_CHQ_AMT_L7_14D,carried through from the extract,0.72
10,F23,R_CI_NON_CASH_CHQ_AMT_CR_L7_14D,carried through from the extract,0.68
11,F24,R_CI_NON_CASH_CHQ_AMT_DB_L7_14D,carried through from the extract,0.73
12,F109,R_NON_CASH_CHQ_TXN_L14_31D,carried through from the extract,0.53
13,F110,R_NON_CASH_CHQ_TXN_CR_L14_31D,carried through from the extract,0.53
14,F111,R_NON_CASH_CHQ_TXN_DB_L14_31D,carried through from the extract,0.53
15,F112,R_NON_CASH_CHQ_AMT_L14_31D,carried through from the extract,0.67
16,F113,R_NON_CASH_CHQ_AMT_CR_L14_31D,carried through from the extract,0.67
17,F114,R_NON_CASH_CHQ_AMT_DB_L14_31D,carried through from the extract,0.66
18,F115,R_CI_NON_CASH_CHQ_TXN_L14_31D,carried through from the extract,0.53
19,F116,R_CI_NON_CASH_CHQ_TXN_CR_L14_31D,carried through from the extract,0.51
20,F117,R_CI_NON_CASH_CHQ_TXN_DB_L14_31D,carried through from the extract,0.53
21,F118,R_CI_NON_CASH_CHQ_AMT_L14_31D,carried through from the extract,0.65
22,F119,R_CI_NON_CASH_CHQ_AMT_CR_L14_31D,carried through from the extract,0.63
23,F120,R_CI_NON_CASH_CHQ_AMT_DB_L14_31D,carried through from the extract,0.64
24,F217,R_NON_CASH_CHQ_TXN_L7_31D,carried through from the extract,0.31
25,F218,R_NON_CASH_CHQ_TXN_CR_L7_31D,carried through from the extract,0.3
26,F219,R_NON_CASH_CHQ_TXN_DB_L7_31D,carried through from the extract,0.31
27,F220,R_NON_CASH_CHQ_AMT_L7_31D,carried through from the extract,0.44
28,F221,R_NON_CASH_CHQ_AMT_CR_L7_31D,carried through from the extract,0.41
29,F222,R_NON_CASH_CHQ_AMT_DB_L7_31D,carried through from the extract,0.45
30,F223,R_CI_NON_CASH_CHQ_TXN_L7_31D,carried through from the extract,0.3
31,F224,R_CI_NON_CASH_CHQ_TXN_CR_L7_31D,carried through from the extract,0.29
32,F225,R_CI_NON_CASH_CHQ_TXN_DB_L7_31D,carried through from the extract,0.31
33,F226,R_CI_NON_CASH_CHQ_AMT_L7_31D,carried through from the extract,0.42
34,F227,R_CI_NON_CASH_CHQ_AMT_CR_L7_31D,carried through from the extract,0.37
35,F228,R_CI_NON_CASH_CHQ_AMT_DB_L7_31D,carried through from the extract,0.43
36,F318,RA_NON_CASH_CHQ_TXN_L7_14D,carried through from the extract,1.0
37,F319,RA_NON_CASH_CHQ_TXN_CR_L7_14D,carried through from the extract,1.0
